               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.029699,           0.0057409,           0.0059181,             0.88754,             0.84947,             0.91648,             0.74778,            0.024756,           0.0030201,           0.0058998,             0.13265,          0.00098281,          0.00098281
                   1,            0.023044,           0.0055844,           0.0059727,             0.83133,             0.84623,             0.91227,             0.71559,            0.020752,           0.0031708,           0.0067327,            0.078506,           0.0019528,           0.0019528
                   2,            0.020185,           0.0053508,           0.0054435,             0.89549,             0.86358,              0.8995,              0.7062,            0.016851,           0.0030888,           0.0061004,            0.024341,           0.0029061,           0.0029061
                   3,            0.017169,           0.0056335,            0.005357,             0.89443,             0.85478,              0.8981,              0.7302,            0.013939,           0.0032349,           0.0064401,            0.003255,            0.003255,            0.003255
                   4,            0.015151,           0.0059098,           0.0053533,             0.89543,             0.86567,             0.91576,             0.69856,            0.013517,            0.003347,           0.0059888,            0.003255,            0.003255,            0.003255
                   5,             0.01376,            0.006058,           0.0053396,             0.89292,              0.8442,             0.88984,             0.71178,            0.011569,           0.0033273,            0.005994,           0.0032266,           0.0032266,           0.0032266
                   6,            0.011804,           0.0061419,           0.0051815,              0.8834,             0.86109,             0.92363,             0.73336,            0.010207,           0.0033555,           0.0054703,           0.0031983,           0.0031983,           0.0031983
                   7,             0.01014,           0.0061227,           0.0046996,             0.90908,             0.86937,             0.93331,             0.70607,            0.010046,           0.0034081,           0.0054204,           0.0031699,           0.0031699,           0.0031699
                   8,           0.0094223,           0.0062826,           0.0053653,             0.85879,             0.90218,             0.93855,             0.75211,           0.0093896,            0.003235,           0.0052632,           0.0031416,           0.0031416,           0.0031416
                   9,           0.0090672,           0.0064564,            0.004899,             0.89399,             0.87592,             0.93754,             0.76291,           0.0080249,           0.0032376,            0.005258,           0.0031132,           0.0031132,           0.0031132
                  10,           0.0084127,           0.0060229,           0.0045879,                0.88,             0.87978,             0.93168,             0.74057,           0.0088077,           0.0031018,           0.0054222,           0.0030849,           0.0030849,           0.0030849
