               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.072746,            0.025079,            0.084311,           0.0035515,             0.91342,             0.04174,            0.017124,            0.034878,            0.010894,            0.065645,            0.070316,           0.0032982,           0.0032982
                   1,             0.04415,            0.020125,            0.080228,           0.0051994,             0.98489,             0.10304,            0.052041,             0.02526,           0.0073513,            0.063449,            0.040272,           0.0065878,           0.0065878
                   2,            0.040427,            0.016761,             0.07896,             0.13693,              0.2673,             0.13747,            0.078458,            0.028334,           0.0054737,            0.061615,            0.010184,           0.0098334,           0.0098334
                   3,            0.036052,            0.014637,            0.077979,            0.034158,             0.96218,             0.14632,            0.081398,            0.026352,           0.0047354,            0.059504,            0.009802,            0.009802,            0.009802
                   4,            0.032844,            0.013434,            0.076538,             0.23623,             0.20955,             0.19728,             0.13435,            0.018953,           0.0042763,            0.057126,            0.009802,            0.009802,            0.009802
                   5,            0.030302,            0.012789,            0.074331,             0.37274,             0.29981,              0.2437,             0.14191,            0.022555,           0.0039907,            0.054814,            0.009736,            0.009736,            0.009736
                   6,            0.029035,            0.012299,            0.072357,             0.27592,             0.33801,             0.32321,             0.21618,            0.020451,           0.0037916,            0.051477,             0.00967,             0.00967,             0.00967
                   7,            0.027604,            0.012373,            0.070298,             0.27962,             0.44837,             0.34164,             0.20252,            0.025351,           0.0037108,            0.049604,            0.009604,            0.009604,            0.009604
                   8,            0.028061,            0.011701,            0.066821,             0.26429,             0.50697,             0.36712,             0.26792,            0.016598,             0.00378,            0.046743,            0.009538,            0.009538,            0.009538
                   9,            0.027143,            0.011783,            0.064219,             0.30697,             0.61354,             0.40333,             0.31304,            0.016406,           0.0036082,            0.045057,            0.009472,            0.009472,            0.009472
                  10,            0.027064,            0.011631,            0.062628,             0.34197,             0.51653,              0.4243,             0.24429,             0.02116,           0.0035451,            0.043407,            0.009406,            0.009406,            0.009406
                  11,            0.026661,              0.0112,            0.061582,             0.34149,             0.57041,             0.48839,             0.32777,            0.019359,           0.0035072,            0.043319,             0.00934,             0.00934,             0.00934
                  12,            0.025898,            0.011279,            0.060524,             0.39106,             0.63419,             0.49213,             0.37491,            0.016291,           0.0034668,            0.040281,            0.009274,            0.009274,            0.009274
                  13,            0.025276,            0.011212,            0.058326,             0.32968,              0.6467,             0.54132,             0.41141,            0.016334,           0.0036661,            0.038589,            0.009208,            0.009208,            0.009208
                  14,            0.025763,            0.011309,            0.056375,             0.52654,             0.55561,             0.60212,             0.40119,            0.022074,           0.0035335,            0.037079,            0.009142,            0.009142,            0.009142
                  15,            0.025776,             0.01125,            0.055273,             0.39578,             0.74816,             0.61666,             0.48051,             0.01497,           0.0034864,            0.035894,            0.009076,            0.009076,            0.009076
                  16,            0.025347,            0.011155,            0.053876,             0.58629,             0.62816,             0.64303,             0.46193,            0.018352,           0.0034482,            0.033744,             0.00901,             0.00901,             0.00901
                  17,            0.025512,            0.010873,            0.051627,             0.47937,              0.6892,             0.65913,             0.47502,            0.017562,           0.0035256,            0.032067,            0.008944,            0.008944,            0.008944
                  18,            0.025146,            0.011098,            0.050331,             0.62991,             0.60844,             0.69336,             0.50838,            0.017094,           0.0034287,             0.03099,            0.008878,            0.008878,            0.008878
                  19,            0.025541,            0.011073,            0.048157,             0.52846,              0.7152,             0.73222,             0.54437,            0.017785,           0.0035344,            0.029184,            0.008812,            0.008812,            0.008812
                  20,            0.025963,            0.010947,            0.047347,             0.56035,             0.73617,             0.74543,             0.54671,            0.015994,           0.0034742,            0.028352,            0.008746,            0.008746,            0.008746
                  21,            0.025682,            0.010706,            0.045024,             0.58775,             0.72854,             0.72407,             0.48055,            0.019702,           0.0035767,            0.027517,             0.00868,             0.00868,             0.00868
                  22,            0.025115,            0.011042,            0.045182,              0.5504,             0.76429,             0.78096,             0.60668,            0.016371,           0.0034081,            0.025465,            0.008614,            0.008614,            0.008614
                  23,            0.025505,            0.010897,            0.042544,             0.56499,             0.76766,             0.79704,             0.60582,            0.015766,             0.00346,             0.02538,            0.008548,            0.008548,            0.008548
                  24,            0.025241,            0.010814,            0.041881,              0.6243,             0.76097,             0.80552,             0.59516,            0.017869,           0.0033097,            0.024376,            0.008482,            0.008482,            0.008482
                  25,            0.024873,            0.010777,            0.040998,             0.64222,             0.82352,             0.81674,             0.58393,             0.01938,           0.0033762,            0.021942,            0.008416,            0.008416,            0.008416
                  26,            0.025508,            0.010899,            0.038592,             0.67458,             0.79621,             0.83221,             0.62512,            0.015942,           0.0034564,            0.023259,             0.00835,             0.00835,             0.00835
